"Title: Population Distribution by Age | KFF"
"Timeframe: 2016"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","0.242","0.091","0.123","0.262","0.131","0.152","1.000","1"
"Alabama","0.241","0.090","0.115","0.258","0.135","0.161","1.000"
"Alaska","0.272","0.102","0.142","0.251","0.132","0.103","1.000"
"Arizona","0.249","0.094","0.118","0.246","0.121","0.172","1.000"
"Arkansas","0.253","0.091","0.113","0.251","0.129","0.163","1.000"
"California","0.245","0.098","0.133","0.267","0.121","0.137","1.000"
"Colorado","0.241","0.093","0.135","0.268","0.128","0.135","1.000"
"Connecticut","0.225","0.088","0.110","0.272","0.145","0.160","1.000"
"Delaware","0.228","0.081","0.121","0.253","0.141","0.176","1.000"
"District of Columbia","0.192","0.102","0.211","0.270","0.107","0.119","1.000"
"Florida","0.213","0.085","0.113","0.255","0.134","0.200","1.000"
"Georgia","0.261","0.091","0.121","0.273","0.122","0.133","1.000"
"Hawaii","0.232","0.082","0.123","0.254","0.135","0.175","1.000"
"Idaho","0.274","0.088","0.118","0.242","0.124","0.153","1.000"
"Illinois","0.242","0.090","0.125","0.267","0.131","0.145","1.000"
"Indiana","0.252","0.094","0.115","0.257","0.133","0.149","1.000"
"Iowa","0.244","0.091","0.116","0.251","0.135","0.163","1.000"
"Kansas","0.262","0.096","0.116","0.248","0.130","0.148","1.000"
"Kentucky","0.242","0.090","0.113","0.263","0.137","0.155","1.000"
"Louisiana","0.255","0.093","0.126","0.252","0.130","0.145","1.000"
"Maine","0.205","0.072","0.107","0.263","0.161","0.193","1.000"
"Maryland","0.238","0.085","0.124","0.274","0.134","0.146","1.000"
"Massachusetts","0.218","0.089","0.127","0.270","0.138","0.158","1.000"
"Michigan","0.232","0.094","0.113","0.257","0.143","0.162","1.000"
"Minnesota","0.245","0.085","0.124","0.261","0.136","0.149","1.000"
"Mississippi","0.262","0.094","0.109","0.255","0.129","0.151","1.000"
"Missouri","0.244","0.087","0.118","0.256","0.137","0.159","1.000"
"Montana","0.232","0.092","0.108","0.239","0.151","0.178","1.000"
"Nebraska","0.259","0.094","0.119","0.250","0.129","0.149","1.000"
"Nevada","0.242","0.089","0.127","0.266","0.125","0.151","1.000"
"New Hampshire","0.210","0.082","0.108","0.273","0.158","0.169","1.000"
"New Jersey","0.236","0.085","0.115","0.277","0.135","0.152","1.000"
"New Mexico","0.248","0.093","0.118","0.243","0.134","0.165","1.000"
"New York","0.223","0.093","0.131","0.268","0.132","0.153","1.000"
"North Carolina","0.242","0.087","0.115","0.270","0.131","0.155","1.000"
"North Dakota","0.243","0.107","0.135","0.241","0.131","0.144","1.000"
"Ohio","0.238","0.087","0.116","0.256","0.141","0.161","1.000"
"Oklahoma","0.263","0.092","0.122","0.246","0.127","0.150","1.000"
"Oregon","0.223","0.088","0.127","0.258","0.136","0.169","1.000"
"Pennsylvania","0.222","0.084","0.119","0.257","0.145","0.173","1.000"
"Rhode Island","0.213","0.096","0.120","0.263","0.145","0.164","1.000"
"South Carolina","0.237","0.087","0.116","0.256","0.136","0.169","1.000"
"South Dakota","0.263","0.088","0.123","0.233","0.137","0.157","1.000"
"Tennessee","0.240","0.088","0.118","0.265","0.132","0.157","1.000"
"Texas","0.279","0.097","0.130","0.262","0.113","0.120","1.000"
"Utah","0.321","0.108","0.131","0.238","0.097","0.105","1.000"
"Vermont","0.204","0.085","0.106","0.261","0.159","0.186","1.000"
"Virginia","0.239","0.088","0.121","0.272","0.133","0.149","1.000"
"Washington","0.236","0.089","0.130","0.264","0.132","0.149","1.000"
"West Virginia","0.217","0.085","0.104","0.258","0.148","0.188","1.000"
"Wisconsin","0.234","0.090","0.115","0.258","0.144","0.160","1.000"
"Wyoming","0.255","0.089","0.121","0.245","0.141","0.150","1.000"
"Puerto Rico","0.219","0.099","0.107","0.258","0.128","0.189","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"Population and demographic data are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
