SAGDP9N Real GDP by state 1
SAGDP9N Real GDP by state 1
State or DC
GeoFips,GeoName,2016,2017,2018,2019,2020,2021,2022,2023
00000,United States,19141672.0,19612102.0,20193896.0,20715671.0,20267585.0,21494798.0,22034828.0,22671096.0
01000,Alabama,212862.8,216615.5,220808.8,225272.8,222288.8,233726.6,238556.5,245354.7
02000,Alaska,53463.9,53550.9,52479.6,52377.5,50332.8,51454.1,50767.1,54059.7
04000,Arizona,319008.4,333099.0,346398.3,359576.7,365027.7,395035.9,410228.4,422399.6
05000,Arkansas,123034.9,123882.6,126371.2,127220.0,128340.9,137463.6,139560.7,142860.6
06000,California,2623711.7,2740550.3,2850970.3,2969609.0,2933320.2,3154188.6,3184007.8,3248656.6
08000,Colorado,337685.2,350209.1,365204.5,383725.6,380188.8,406451.9,418818.8,437056.0
09000,Connecticut,268196.2,273875.1,274582.8,275225.4,260765.2,269838.7,278975.9,286628.4
10000,Delaware,71941.4,69555.6,70856.4,74627.8,72506.8,74657.1,77149.2,78014.4
11000,District of Columbia,132217.8,134298.8,138056.8,138909.7,137640.8,143141.4,144554.6,146024.3
12000,Florida,978989.7,1014866.9,1050433.8,1084913.9,1069758.8,1170526.3,1239883.6,1292787.6
13000,Georgia,561718.3,583543.3,600934.7,620744.9,604745.9,643013.8,665678.1,678201.2
15000,Hawaii,85670.4,87436.4,88836.4,88855.2,79840.1,84408.5,86887.8,88614.3
16000,Idaho,70442.5,72935.1,77652.1,81144.3,82717.4,88969.6,92903.7,95897.9
17000,Illinois,826404.7,832826.8,851517.2,858018.3,810200.9,855888.1,876536.0,885651.3
18000,Indiana,348439.2,357535.8,368762.9,370507.2,359787.3,387122.0,399280.8,404290.3
19000,Iowa,186729.9,187125.0,189245.1,188471.4,186328.2,201147.1,201580.4,202051.4
20000,Kansas,164643.7,166273.6,169796.9,169562.3,168056.8,172782.4,177470.1,183795.6
21000,Kentucky,201007.2,203564.0,205940.1,211783.1,206049.6,215133.2,219755.6,224418.0
22000,Louisiana,235554.2,239830.7,245220.3,246674.4,228951.3,237839.2,236854.1,248615.5
23000,Maine,62037.1,63000.6,64806.3,66758.4,67410.9,71142.4,73036.2,75195.4
24000,Maryland,391950.9,399714.5,402480.9,402506.2,388782.8,406953.1,416406.2,422866.3
25000,Massachusetts,521662.8,530129.4,549262.1,566326.8,559765.0,595911.8,608052.9,615504.5
26000,Michigan,500159.5,505101.5,516843.0,521085.1,501893.8,530380.9,543720.9,554256.2
27000,Minnesota,350603.6,354721.9,364799.7,369617.4,357475.6,377947.0,384727.7,390907.9
28000,Mississippi,109911.0,110281.4,110174.8,111207.8,110322.8,115675.1,116557.1,119548.4
29000,Missouri,308423.3,311273.8,314182.4,321329.1,315332.6,331580.9,339652.4,348487.4
30000,Montana,47189.6,48470.5,49455.0,50263.5,49981.4,53303.7,55193.9,57373.3
31000,Nebraska,121303.1,123219.9,125543.4,127568.9,126734.9,134939.9,139440.9,145019.6
32000,Nevada,156007.4,163199.1,168638.5,176029.7,166077.0,182474.1,190463.3,195405.6
33000,New Hampshire,80736.1,81179.6,82269.5,84438.2,83152.6,89949.3,91416.1,93466.7
34000,New Jersey,587049.7,590086.7,606892.2,618691.0,597221.4,632463.3,650235.8,663888.5
35000,New Mexico,93043.5,93210.1,96077.0,100342.2,97622.4,100917.6,103301.6,110323.7
36000,New York,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1,1791210.7
37000,North Carolina,536308.5,546810.1,556573.7,567975.0,564504.4,600217.3,619537.2,638067.3
38000,North Dakota,54756.0,56530.2,58516.4,59408.5,55850.6,56419.2,55988.0,60348.6
39000,Ohio,638157.5,652187.5,656212.0,674063.9,655243.3,690478.9,695257.9,709816.6
40000,Oklahoma,190093.5,192538.6,196030.5,200072.2,191560.9,194132.8,193940.5,207923.3
41000,Oregon,214769.3,225534.5,234308.3,239794.8,237424.2,250325.8,256062.7,261951.5
42000,Pennsylvania,744847.1,754318.0,763855.4,771852.5,736381.3,765508.8,779360.6,799228.8
44000,Rhode Island,58630.0,58771.6,58740.1,60157.6,58231.7,60803.0,62279.4,63277.0
45000,South Carolina,220559.3,224937.6,231663.3,239021.3,233650.1,245752.1,254504.5,262298.5
46000,South Dakota,51264.3,51615.1,51937.8,52510.2,52770.7,55515.9,55259.8,57275.1
47000,Tennessee,343544.9,355417.5,362363.7,370197.4,367863.6,400243.6,414470.8,422087.7
48000,Texas,1633863.3,1667313.0,1746543.3,1806736.1,1773657.1,1879101.3,1952708.6,2097090.4
49000,Utah,162528.2,172075.0,182106.0,192760.6,194750.2,210446.9,217442.5,225459.4
50000,Vermont,32312.7,32589.2,32827.8,33339.4,32252.7,33721.9,34752.6,35236.6
51000,Virginia,505107.7,515167.2,527767.5,541028.0,534532.3,565470.6,580475.2,597597.1
53000,Washington,495724.9,527169.4,561785.7,588794.4,589156.8,630051.5,644075.1,677238.0
54000,West Virginia,73513.3,75172.4,77406.5,77162.2,74553.8,75765.1,77188.0,80798.2
55000,Wisconsin,319272.3,321886.8,328832.4,333256.8,322470.6,334514.0,339747.9,344570.8
56000,Wyoming,37853.5,37620.3,37977.2,38577.1,36198.2,37131.8,37827.2,40210.8
91000,New England,1023574.2,1039545.4,1062478.0,1086223.7,1061531.8,1121276.2,1148442.2,1169288.3
92000,Mideast,3518584.5,3572774.4,3647342.2,3711064.2,3589546.7,3759180.4,3833059.5,3901561.0
93000,Great Lakes,2632446.9,2669538.3,2722152.2,2756943.5,2649553.3,2798288.6,2854331.0,2898354.6
94000,Plains,1237736.4,1250759.3,1274025.8,1288475.9,1262663.1,1330505.9,1354128.6,1388150.7
95000,Southeast,4102066.9,4210089.2,4315633.4,4423102.6,4345697.4,4641104.5,4802786.2,4952758.9
96000,Southwest,2235958.6,2286160.7,2385042.1,2466718.9,2428217.3,2569596.0,2660434.4,2838599.1
97000,Rocky Mountain,655672.6,681310.1,712372.1,746428.8,743870.7,796343.1,822215.2,856063.1
98000,Far West,3629300.3,3797440.5,3956948.0,4115306.5,4055843.5,4352483.0,4411936.1,4525827.9

