"Title: Population Distribution by Age | KFF"
"Timeframe: 2018"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","0.238","0.088","0.124","0.257","0.132","0.161","1.000","1"
"Alabama","0.237","0.088","0.117","0.251","0.136","0.171","1.000"
"Alaska","0.270","0.088","0.132","0.258","0.133","0.121","1.000"
"Arizona","0.244","0.092","0.120","0.243","0.123","0.178","1.000"
"Arkansas","0.249","0.087","0.118","0.247","0.130","0.167","1.000"
"California","0.241","0.093","0.137","0.264","0.122","0.144","1.000"
"Colorado","0.238","0.089","0.139","0.265","0.126","0.143","1.000"
"Connecticut","0.222","0.084","0.112","0.265","0.147","0.171","1.000"
"Delaware","0.220","0.082","0.117","0.249","0.143","0.190","1.000"
"District of Columbia","0.195","0.096","0.212","0.269","0.105","0.124","1.000"
"Florida","0.211","0.081","0.115","0.251","0.136","0.206","1.000"
"Georgia","0.256","0.088","0.124","0.269","0.124","0.140","1.000"
"Hawaii","0.230","0.073","0.124","0.251","0.132","0.191","1.000"
"Idaho","0.269","0.088","0.118","0.241","0.124","0.160","1.000"
"Illinois","0.238","0.089","0.124","0.261","0.133","0.155","1.000"
"Indiana","0.248","0.090","0.118","0.254","0.133","0.157","1.000"
"Iowa","0.247","0.089","0.115","0.245","0.135","0.169","1.000"
"Kansas","0.259","0.093","0.116","0.245","0.132","0.157","1.000"
"Kentucky","0.237","0.090","0.116","0.256","0.137","0.165","1.000"
"Louisiana","0.253","0.091","0.122","0.249","0.131","0.155","1.000"
"Maine","0.193","0.072","0.108","0.256","0.165","0.206","1.000"
"Maryland","0.235","0.084","0.121","0.268","0.138","0.154","1.000"
"Massachusetts","0.212","0.087","0.131","0.263","0.141","0.166","1.000"
"Michigan","0.228","0.091","0.118","0.249","0.143","0.172","1.000"
"Minnesota","0.244","0.084","0.125","0.255","0.137","0.156","1.000"
"Mississippi","0.255","0.091","0.113","0.249","0.131","0.160","1.000"
"Missouri","0.237","0.088","0.120","0.248","0.139","0.169","1.000"
"Montana","0.225","0.082","0.115","0.240","0.147","0.192","1.000"
"Nebraska","0.261","0.087","0.120","0.246","0.130","0.156","1.000"
"Nevada","0.237","0.084","0.129","0.265","0.125","0.159","1.000"
"New Hampshire","0.203","0.081","0.112","0.261","0.162","0.181","1.000"
"New Jersey","0.232","0.083","0.115","0.271","0.138","0.161","1.000"
"New Mexico","0.244","0.091","0.117","0.237","0.133","0.178","1.000"
"New York","0.220","0.087","0.134","0.260","0.135","0.164","1.000"
"North Carolina","0.237","0.085","0.117","0.264","0.133","0.164","1.000"
"North Dakota","0.242","0.108","0.136","0.233","0.132","0.150","1.000"
"Ohio","0.235","0.086","0.119","0.251","0.141","0.170","1.000"
"Oklahoma","0.259","0.087","0.126","0.244","0.127","0.157","1.000"
"Oregon","0.218","0.085","0.129","0.259","0.131","0.177","1.000"
"Pennsylvania","0.220","0.083","0.119","0.252","0.145","0.182","1.000"
"Rhode Island","0.205","0.091","0.127","0.259","0.146","0.173","1.000"
"South Carolina","0.234","0.086","0.113","0.252","0.137","0.179","1.000"
"South Dakota","0.258","0.091","0.114","0.236","0.138","0.164","1.000"
"Tennessee","0.237","0.087","0.120","0.260","0.134","0.163","1.000"
"Texas","0.275","0.094","0.130","0.262","0.114","0.125","1.000"
"Utah","0.311","0.109","0.130","0.244","0.096","0.111","1.000"
"Vermont","0.195","0.081","0.114","0.252","0.159","0.198","1.000"
"Virginia","0.236","0.086","0.122","0.265","0.133","0.158","1.000"
"Washington","0.232","0.084","0.139","0.260","0.130","0.155","1.000"
"West Virginia","0.213","0.082","0.105","0.253","0.146","0.201","1.000"
"Wisconsin","0.231","0.086","0.114","0.256","0.144","0.169","1.000"
"Wyoming","0.243","0.083","0.121","0.244","0.141","0.169","1.000"
"Puerto Rico","0.201","0.096","0.106","0.257","0.134","0.207","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"Population and demographic data are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
