"state","TotalArea","LandArea","WaterArea","densityMi"
"Alabama",52420,50645,1775,101.5506
"Alaska",665384,570641,94743,1.28546
"Arizona",113990,113594,396,65.9982
"Arkansas",53179,52035,1143,59.36504
"California",163696,155779,7916,249.64726
"Colorado",104094,103642,452,57.06355
"Connecticut",5543,4842,701,748.79182
"Delaware",2489,1949,540,535.8235
"District of Columbia",,,,11262.21311
"Florida",65758,53625,12133,428.45501
"Georgia",59425,57513,1912,193.78749
"Hawaii",10932,6423,4509,222.7744
"Idaho",83569,82643,926,24.08504
"Illinois",57914,55519,2395,225.45255
"Indiana",36420,35826,593,192.3776
"Iowa",56273,55857,416,57.54552
"Kansas",82278,81759,520,36.01292
"Kentucky",40408,39486,921,114.9962
"Louisiana",52378,43204,9174,105.53375
"Maine",35380,30843,4537,45.45959
"Maryland",12406,9707,2699,638.35583
"Massachusetts",10554,7800,2754,900.00769
"Michigan",96714,56539,40175,177.59776
"Minnesota",86936,79627,7309,72.35649
"Mississippi",48432,46923,1509,62.66543
"Missouri",69707,68742,965,90.41256
"Montana",147040,145546,1494,7.85147
"Nebraska",77348,76824,524,25.88644
"Nevada",110572,109781,791,29.2485
"New Hampshire",9349,8953,397,156.94181
"New Jersey",8723,7354,1368,1267.45445
"New Mexico",121590,121298,292,17.43862
"New York",54555,47126,7429,413.13076
"North Carolina",53819,48618,5201,225.73944
"North Dakota",70698,69001,1698,11.43375
"Ohio",44826,40861,3965,289.0825
"Oklahoma",69899,68595,1304,59.60172
"Oregon",98379,95988,2391,44.0403
"Pennsylvania",46054,44743,1312,289.4598
"Rhode Island",1545,1034,511,1061.97292
"South Carolina",32020,30061,1960,181.76907
"South Dakota",77116,75811,1305,12.25108
"Tennessee",42144,41235,909,174.70595
"Texas",268596,261232,7365,118.57965
"Utah",84897,82170,2727,42.0376
"Vermont",9616,9217,400,70.28513
"Virginia",42775,39490,3285,221.63332
"Washington",71298,66456,4842,117.99205
"West Virginia",24230,24038,192,73.47159
"Wisconsin",65496,54158,11339,109.51974
"Wyoming",97813,97093,720,6.04045
"United States",3796677,3531846,264834,
